Date,StartUp,Vertical,SubVertical,City,Investor,Round,Amount in Cr,Year,Month,Startup_lower
2020-01-09,BYJU'S,Ed-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,1715.4,2020.0,1.0,byju’s
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurugram,Susquehanna Growth Equity,Series C,69.03,2020.0,1.0,shuttl
2020-01-09,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,157.46,2020.0,1.0,mamaearth
2020-01-02,weathbucket,Fin-Tech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,25.73,2020.0,1.0,weathbucket
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,15.44,2020.0,1.0,fashor
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,77.19,2020.0,1.0,pando
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurugram,Ant Financial,Private Equity Round,1286.55,2020.0,1.0,zomato
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,51.46,2019.0,12.0,ecozen
2019-12-06,CarDekho,E-Commerce,Automobile,Gurugram,Ping An Global Voyager Fund,Series D,600.39,2019.0,12.0,cardekho
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,428.85,2019.0,12.0,dhruva space
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,171.54,2019.0,12.0,rivigo
2019-12-17,Healthians,B2B Platform-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,102.92,2019.0,12.0,healthians
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,257.31,2019.0,12.0,licious
2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,17.15,2019.0,12.0,trell
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,428.85,2019.0,12.0,rein games
2019-12-20,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1981.29,2019.0,12.0,lenskart.com
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1286.55,2019.0,11.0,freshworks
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,4.17,2019.0,11.0,misters
2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.87,2019.0,11.0,sunstone eduversity pvt. ltd
2019-11-17,Burger Singh,Food and Beverages and Beverage,Indian Burger Brand,Gurugram,RB Investments,Venture,0.0,2019.0,11.0,burger singh
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,102.92,2019.0,11.0,healthians
2019-11-15,Ninjacart,B2B Platform Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,223.0,2019.0,11.0,ninjacart
2019-11-20,Aye Finance,Fin-Tech,Financial Services To MSMEs,Gurugram,FinTech,Debt Funding,149.34,2019.0,11.0,aye finance
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,11.15,2019.0,11.0,supergaming
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1157.9,2019.0,11.0,clumio
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.57,2019.0,11.0,ebikego
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1886.94,2019.0,11.0,digital mall asia
2019-11-18,Medikabazaar,Health and Wellness,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,135.52,2019.0,11.0,medikabazaar
2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2427.29,2019.0,11.0,vogo automotive
2019-11-25,Paytm,Fin-Tech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8577.0,2019.0,11.0,paytm
2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,385.96,2019.0,10.0,dunzo
2019-10-02,Udaan,B2B Platform,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,5017.54,2019.0,10.0,udaan
2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurugram,Ayushmann Khurana,Corporate Round,0.0,2019.0,10.0,the man company
2019-09-05,FPL Technologies,Fin-Tech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,38.6,2019.0,9.0,fpl technologies
