startup_name,Avg_Investment,Total_Investment,Num_Deals,Avg_Year,Unique_Investors,Cluster
121Policy,0.0,0.0,1,2016.0,1,2
19th mile,1.54,1.54,1,2018.0,5,0
1Crowd,0.0,0.0,1,2017.0,1,0
1mg,85.7725,343.09,4,2016.75,6,3
1mg (Healthkartplus),51.46,51.46,1,2015.0,4,2
33Coupons,0.17,0.17,1,2015.0,1,2
360Ride,1.29,1.29,1,2016.0,1,2
3Dexter,1.29,1.29,1,2016.0,1,2
3HCare,0.86,0.86,1,2017.0,1,0
3rdFlix,42.88,42.88,1,2019.0,1,0
48East,4.29,4.29,1,2017.0,1,0
4tigo,85.77,85.77,1,2017.0,3,0
5th Vital,4.29,4.29,1,2018.0,1,0
6Degree,0.86,1.72,2,2015.5,2,2
75F,154.39,154.39,1,2019.0,1,0
91SpringBoard,0.0,0.0,2,2016.5,7,3
99Games,0.0,0.0,1,2017.0,1,0
99PerHour,2.57,2.57,1,2017.0,1,0
9Stacks,12.87,12.87,1,2017.0,4,0
A&R Bon Vivants,8.58,8.58,1,2018.0,2,0
AadharAPI,0.0,0.0,1,2017.0,1,0
Aadyah,8.58,8.58,1,2017.0,1,0
aagaar,0.0,0.0,1,2015.0,1,2
Aahaa,8.58,8.58,1,2016.0,2,2
Aahaa Stores,8.58,8.58,1,2017.0,1,0
Aarav UAV,0.0,0.0,1,2016.0,2,2
Aasaanjobs,42.88,42.88,1,2016.0,3,2
Aashiyaan,17.15,17.15,1,2018.0,2,0
Aavishkaar-Intellecap Group,265.89,265.89,1,2018.0,1,0
AbeRuk,0.0,0.0,1,2016.0,1,2
Abhibus,0.0,0.0,1,2015.0,1,2
ABI Health,12.87,12.87,1,2017.0,1,0
Absentia,1.54,1.54,1,2015.0,2,2
Absentia VR,10.72,10.72,1,2017.0,1,0
Ace2three,632.12,632.12,1,2017.0,1,0
Ace Turtle,21.44,42.88,2,2017.0,2,0
Acko,102.92,102.92,1,2018.0,4,0
Actionable Analytics,0.0,0.0,1,2015.0,2,2
Active.ai,15.01,30.02,2,2016.0,2,2
Active AI,70.76,70.76,1,2017.0,1,0
Actofit,6.43,6.43,1,2016.0,1,2
ActOnMagic,1.07,1.07,1,2016.0,1,2
Ad2pro,83.2,83.2,1,2018.0,1,0
Address Health,12.87,12.87,1,2016.0,1,2
AdmitKard,8.58,8.58,1,2019.0,1,0
AdPushUp,0.0,0.0,1,2016.0,3,2
AdStringO,3.0,3.0,1,2015.0,3,2
AdUrCup,0.86,0.86,1,2016.0,1,2
Advanced Structures India,0.0,0.0,1,2016.0,1,2
Advantage Club,3.43,3.43,1,2016.0,1,2
Advenio,0.86,0.86,1,2016.0,1,2
AdWyze,8.58,8.58,1,2015.0,1,2
Adytude,8.58,8.58,1,2016.0,1,2
AEON Learning,27.45,27.45,1,2018.0,1,0
Aequm,8.58,8.58,1,2017.0,1,0
AerMed,0.0,0.0,1,2016.0,1,2
Affimity,10.29,10.29,1,2016.0,1,2
Affordplan,15.01,30.02,2,2016.0,2,2
Agara Labs,21.44,21.44,1,2019.0,1,0
AgentDesks,25.3,25.3,1,2015.0,3,2
Agricxlab,4.29,4.29,1,2018.0,1,0
Agrostar,60.04,120.08,2,2016.0,1,2
Agrowave,0.0,0.0,1,2017.0,1,0
AHA Taxis,0.0,0.0,1,2015.0,1,2
AirCTO,0.0,0.0,1,2017.0,1,0
AirMed Labs,12.01,12.01,1,2017.0,1,0
Airpay,31.48,31.48,1,2017.0,2,0
Airwood,0.0,0.0,1,2016.0,1,2
AirZaar,3.0,3.0,1,2017.0,1,0
Aisle,0.795,1.59,2,2016.5,4,3
Akosha,137.23,137.23,1,2015.0,1,2
AlefnMobitech,42.88,42.88,1,2016.0,1,2
AllIzHealth,3.0,3.0,1,2015.0,1,2
Allygrow Technologies,171.54,171.54,1,2015.0,1,2
AlmaConnect,0.0,0.0,1,2016.0,2,2
